timestamp,distance
2021-02-01T12:04:00Z,33.50
2021-02-01T12:05:00Z,5.00
2021-02-01T12:06:00Z,29.70
2021-02-01T12:07:00Z,36.60
2021-02-01T12:08:00Z,24.00
2021-02-01T12:09:00Z,43.00
2021-02-01T12:10:00Z,48.70
2021-02-01T12:11:00Z,39.20
2021-02-01T12:12:00Z,51.80
2021-02-01T12:13:00Z,64.50
2021-02-01T12:14:00Z,52.50
2021-02-01T12:15:00Z,67.00
2021-02-01T12:16:00Z,62.00
2021-02-01T12:17:00Z,60.10
2021-02-01T12:18:00Z,60.70
2021-02-01T12:19:00Z,64.50
2021-02-01T12:20:00Z,58.20
2021-02-01T12:21:00Z,36.00
2021-02-01T12:22:00Z,5.60
2021-02-01T12:23:00Z,27.80
2021-02-01T12:24:00Z,33.50
2021-02-01T12:25:00Z,4.40
2021-02-01T12:28:00Z,3.10
2021-02-01T12:29:00Z,2.50
2021-02-01T12:30:00Z,8.20
2021-02-01T12:32:00Z,2.50
2021-02-01T12:33:00Z,17.70
2021-02-01T12:34:00Z,28.40
2021-02-01T12:35:00Z,45.50
2021-02-01T12:36:00Z,24.00
2021-02-01T12:37:00Z,41.70
2021-02-01T12:38:00Z,44.90
2021-02-01T12:39:00Z,46.10
2021-02-01T12:40:00Z,29.70
2021-02-01T12:45:00Z,3.70
2021-02-01T12:52:00Z,2.50
2021-02-01T12:53:00Z,16.40
2021-02-01T12:54:00Z,6.30
2021-02-01T12:55:00Z,12.00
2021-02-01T12:56:00Z,8.20
2021-02-01T12:57:00Z,24.60
2021-02-01T12:58:00Z,22.10
2021-02-01T12:59:00Z,7.50
2021-02-01T13:00:00Z,8.20
2021-02-01T13:01:00Z,22.10
2021-02-01T13:07:00Z,30.30
2021-02-01T13:08:00Z,18.30
2021-02-01T13:09:00Z,2.50
2021-02-01T13:16:00Z,5.60
2021-02-01T13:18:00Z,14.50
2021-02-01T13:19:00Z,2.50
2021-02-01T13:22:00Z,17.70
2021-02-01T13:33:00Z,10.70
2021-02-01T13:42:00Z,4.40
2021-02-01T13:46:00Z,6.30
2021-02-01T13:47:00Z,10.70
2021-02-01T13:55:00Z,5.00
2021-02-01T13:56:00Z,2.50
2021-02-01T13:58:00Z,5.00
2021-02-01T14:02:00Z,6.30
2021-02-01T14:04:00Z,11.30
2021-02-01T14:11:00Z,2.50
2021-02-01T14:23:00Z,3.70
2021-02-01T14:28:00Z,10.10
2021-02-01T14:29:00Z,7.50
2021-02-01T14:30:00Z,18.30
