timestamp,steps
2024-04-17T02:04:00Z,6
2024-04-17T02:07:00Z,6
2024-04-17T02:08:00Z,22
2024-04-17T02:09:00Z,22
2024-04-17T02:45:00Z,10
2024-04-17T03:48:00Z,9
2024-04-17T04:31:00Z,4
2024-04-17T04:48:00Z,8
2024-04-17T04:49:00Z,64
2024-04-17T04:50:00Z,24
2024-04-17T04:52:00Z,6
2024-04-17T05:01:00Z,11
2024-04-17T13:04:00Z,13
2024-04-17T13:05:00Z,68
2024-04-17T13:06:00Z,77
2024-04-17T13:07:00Z,51
2024-04-17T13:08:00Z,29
2024-04-17T13:09:00Z,15
2024-04-17T13:17:00Z,27
2024-04-17T13:18:00Z,18
2024-04-17T13:19:00Z,6
2024-04-17T13:22:00Z,20
2024-04-17T13:27:00Z,4
2024-04-17T13:39:00Z,16
2024-04-17T13:47:00Z,12
2024-04-17T13:48:00Z,30
2024-04-17T13:49:00Z,34
2024-04-17T13:50:00Z,13
2024-04-17T13:51:00Z,36
2024-04-17T13:52:00Z,7
2024-04-17T13:53:00Z,45
2024-04-17T13:54:00Z,79
2024-04-17T13:55:00Z,106
2024-04-17T13:56:00Z,114
2024-04-17T13:57:00Z,117
2024-04-17T13:58:00Z,144
2024-04-17T13:59:00Z,147
2024-04-17T14:00:00Z,140
2024-04-17T14:01:00Z,139
2024-04-17T14:02:00Z,137
2024-04-17T14:03:00Z,139
2024-04-17T14:04:00Z,138
2024-04-17T14:05:00Z,136
2024-04-17T14:06:00Z,134
2024-04-17T14:07:00Z,138
2024-04-17T14:08:00Z,138
2024-04-17T14:09:00Z,128
2024-04-17T14:10:00Z,133
2024-04-17T14:11:00Z,131
2024-04-17T14:12:00Z,133
2024-04-17T14:13:00Z,133
2024-04-17T14:14:00Z,117
2024-04-17T14:15:00Z,104
2024-04-17T14:16:00Z,104
2024-04-17T14:17:00Z,106
2024-04-17T14:18:00Z,118
2024-04-17T14:19:00Z,103
2024-04-17T14:20:00Z,117
