timestamp,lap time,stroke count,stroke type
2020-06-03T21:57:54Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T22:08:31Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T22:16:11Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T00:31:58Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T00:33:12Z,00:00:27.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T00:34:23Z,00:00:26.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T00:37:39Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T12:50:25Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:04:31Z,00:00:20.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:06:14Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:06:54Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:07:33Z,00:00:29.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:10:53Z,00:00:13.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:11:23Z,00:00:10.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:11:52Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:12:51Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:13:25Z,00:00:31.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:14:21Z,00:00:26.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:15:14Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:15:57Z,00:00:29.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:17:16Z,00:00:23.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:22:27Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:22:45Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:23:04Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:23:16Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:25:56Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:26:40Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:27:02Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:28:02Z,00:00:54.000,28,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T15:29:00Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T16:07:12Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T16:08:41Z,00:00:32.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T16:11:55Z,00:00:35.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T17:58:24Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T19:15:26Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T20:13:10Z,00:00:24.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T20:29:37Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T23:30:11Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T23:36:36Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T23:37:00Z,00:00:27.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-04T23:49:16Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T00:46:25Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T00:48:41Z,00:00:35.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T00:49:28Z,00:00:46.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T01:17:09Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T01:17:59Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T01:39:23Z,00:00:27.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:10:54Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:17:21Z,00:00:12.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:24:35Z,00:00:17.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:26:25Z,00:00:22.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:27:30Z,00:00:31.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:31:23Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:33:29Z,00:00:18.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:33:53Z,00:00:36.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:36:54Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:37:21Z,00:00:17.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
