timestamp,heart rate zone,total minutes
2024-08-07T23:04:00Z,fat burn,1
2024-08-07T23:08:00Z,fat burn,1
2024-08-07T23:09:00Z,fat burn,1
2024-08-07T23:11:00Z,fat burn,1
2024-08-07T23:17:00Z,fat burn,1
2024-08-07T23:21:00Z,fat burn,1
2024-08-07T23:22:00Z,fat burn,1
2024-08-07T23:23:00Z,fat burn,1
2024-08-07T23:24:00Z,fat burn,1
2024-08-07T23:25:00Z,fat burn,1
2024-08-07T23:26:00Z,fat burn,1
2024-08-07T23:27:00Z,fat burn,1
2024-08-07T23:28:00Z,fat burn,1
2024-08-07T23:29:00Z,fat burn,1
2024-08-07T23:31:00Z,fat burn,1
2024-08-07T23:33:00Z,fat burn,1
2024-08-07T23:34:00Z,fat burn,1
2024-08-07T23:35:00Z,cardio,2
2024-08-07T23:36:00Z,cardio,2
2024-08-07T23:37:00Z,cardio,2
2024-08-07T23:39:00Z,cardio,2
2024-08-07T23:40:00Z,fat burn,1
2024-08-07T23:41:00Z,fat burn,1
2024-08-07T23:42:00Z,fat burn,1
2024-08-07T23:43:00Z,fat burn,1
2024-08-07T23:44:00Z,fat burn,1
2024-08-07T23:46:00Z,fat burn,1
2024-08-07T23:47:00Z,fat burn,1
2024-08-07T23:48:00Z,fat burn,1
2024-08-07T23:49:00Z,fat burn,1
2024-08-07T23:50:00Z,fat burn,1
2024-08-07T23:51:00Z,fat burn,1
2024-08-07T23:52:00Z,fat burn,1
2024-08-07T23:53:00Z,fat burn,1
2024-08-07T23:54:00Z,fat burn,1
2024-08-07T23:55:00Z,fat burn,1
2024-08-07T23:56:00Z,fat burn,1
2024-08-07T23:57:00Z,fat burn,1
2024-08-07T23:58:00Z,fat burn,1
2024-08-07T23:59:00Z,fat burn,1
2024-08-08T00:00:00Z,fat burn,1
2024-08-08T00:01:00Z,fat burn,1
2024-08-08T00:02:00Z,fat burn,1
2024-08-08T00:03:00Z,fat burn,1
2024-08-08T00:04:00Z,fat burn,1
2024-08-08T00:05:00Z,fat burn,1
2024-08-08T00:06:00Z,fat burn,1
2024-08-08T00:07:00Z,fat burn,1
2024-08-08T00:08:00Z,fat burn,1
2024-08-08T00:10:00Z,fat burn,1
2024-08-08T00:11:00Z,fat burn,1
2024-08-08T00:12:00Z,fat burn,1
2024-08-08T00:13:00Z,fat burn,1
2024-08-08T00:14:00Z,fat burn,1
2024-08-08T00:15:00Z,fat burn,1
2024-08-08T00:16:00Z,fat burn,1
2024-08-08T00:17:00Z,fat burn,1
2024-08-08T00:18:00Z,fat burn,1
2024-08-08T00:22:00Z,fat burn,1
2024-08-08T00:23:00Z,fat burn,1
2024-08-08T00:24:00Z,fat burn,1
2024-08-08T00:25:00Z,fat burn,1
2024-08-08T00:26:00Z,fat burn,1
2024-08-08T00:27:00Z,fat burn,1
2024-08-08T00:32:00Z,fat burn,1
2024-08-08T00:33:00Z,fat burn,1
2024-08-08T15:58:00Z,fat burn,1
2024-08-08T15:59:00Z,fat burn,1
2024-08-08T16:00:00Z,fat burn,1
2024-08-08T16:01:00Z,fat burn,1
2024-08-08T16:02:00Z,fat burn,1
2024-08-08T16:03:00Z,fat burn,1
2024-08-08T16:04:00Z,fat burn,1
2024-08-08T16:05:00Z,fat burn,1
2024-08-08T16:06:00Z,fat burn,1
2024-08-08T16:07:00Z,fat burn,1
2024-08-08T16:08:00Z,fat burn,1
2024-08-08T16:09:00Z,fat burn,1
2024-08-08T16:10:00Z,fat burn,1
2024-08-08T16:11:00Z,fat burn,1
2024-08-08T16:12:00Z,fat burn,1
2024-08-08T16:13:00Z,fat burn,1
2024-08-08T22:16:00Z,fat burn,1
2024-08-08T22:17:00Z,fat burn,1
2024-08-08T22:18:00Z,fat burn,1
2024-08-09T16:23:00Z,fat burn,1
2024-08-09T16:24:00Z,cardio,2
2024-08-09T16:25:00Z,cardio,2
2024-08-09T16:26:00Z,cardio,2
2024-08-09T16:27:00Z,cardio,2
2024-08-09T16:28:00Z,fat burn,1
2024-08-09T16:29:00Z,fat burn,1
2024-08-09T16:30:00Z,fat burn,1
2024-08-09T16:31:00Z,fat burn,1
2024-08-09T16:32:00Z,fat burn,1
2024-08-09T16:33:00Z,fat burn,1
2024-08-09T16:34:00Z,fat burn,1
2024-08-09T16:35:00Z,fat burn,1
2024-08-09T16:36:00Z,fat burn,1
2024-08-09T16:37:00Z,cardio,2
2024-08-09T16:38:00Z,fat burn,1
2024-08-09T16:39:00Z,fat burn,1
2024-08-09T16:40:00Z,fat burn,1
2024-08-09T16:41:00Z,fat burn,1
2024-08-09T16:42:00Z,cardio,2
2024-08-09T16:43:00Z,fat burn,1
2024-08-09T16:44:00Z,fat burn,1
2024-08-09T16:45:00Z,fat burn,1
2024-08-09T16:46:00Z,fat burn,1
2024-08-09T16:47:00Z,fat burn,1
2024-08-09T16:48:00Z,fat burn,1
2024-08-09T16:49:00Z,fat burn,1
2024-08-09T16:50:00Z,fat burn,1
2024-08-09T19:35:00Z,fat burn,1
2024-08-09T19:38:00Z,fat burn,1
2024-08-09T19:39:00Z,fat burn,1
2024-08-09T19:41:00Z,fat burn,1
2024-08-09T19:42:00Z,fat burn,1
2024-08-09T19:43:00Z,fat burn,1
2024-08-09T19:45:00Z,fat burn,1
2024-08-10T15:25:00Z,fat burn,1
2024-08-10T15:26:00Z,fat burn,1
2024-08-10T15:27:00Z,fat burn,1
2024-08-10T15:28:00Z,fat burn,1
2024-08-10T15:29:00Z,fat burn,1
2024-08-10T15:30:00Z,fat burn,1
2024-08-10T15:31:00Z,fat burn,1
2024-08-10T15:32:00Z,fat burn,1
2024-08-10T15:33:00Z,fat burn,1
2024-08-10T15:34:00Z,fat burn,1
2024-08-10T15:36:00Z,fat burn,1
2024-08-10T15:37:00Z,cardio,2
2024-08-10T15:38:00Z,cardio,2
2024-08-10T15:39:00Z,cardio,2
2024-08-10T15:40:00Z,cardio,2
2024-08-10T15:41:00Z,cardio,2
2024-08-10T15:42:00Z,fat burn,1
2024-08-10T15:43:00Z,fat burn,1
2024-08-10T15:44:00Z,fat burn,1
2024-08-10T15:45:00Z,fat burn,1
2024-08-10T15:46:00Z,fat burn,1
2024-08-10T15:47:00Z,cardio,2
2024-08-10T15:48:00Z,cardio,2
2024-08-10T15:49:00Z,fat burn,1
2024-08-10T15:50:00Z,fat burn,1
2024-08-10T15:51:00Z,fat burn,1
2024-08-10T15:52:00Z,fat burn,1
2024-08-10T15:53:00Z,fat burn,1
2024-08-10T15:54:00Z,fat burn,1
2024-08-10T15:55:00Z,fat burn,1
2024-08-10T15:56:00Z,fat burn,1
2024-08-10T15:57:00Z,fat burn,1
2024-08-10T15:58:00Z,fat burn,1
2024-08-10T20:15:00Z,fat burn,1
2024-08-10T20:53:00Z,fat burn,1
2024-08-10T20:54:00Z,fat burn,1
2024-08-10T20:55:00Z,fat burn,1
2024-08-10T20:56:00Z,fat burn,1
2024-08-10T20:57:00Z,fat burn,1
2024-08-10T20:58:00Z,fat burn,1
2024-08-10T21:00:00Z,fat burn,1
2024-08-11T14:49:00Z,fat burn,1
2024-08-11T15:15:00Z,fat burn,1
2024-08-11T15:16:00Z,cardio,2
2024-08-11T15:17:00Z,cardio,2
2024-08-11T15:18:00Z,cardio,2
2024-08-11T15:19:00Z,cardio,2
2024-08-11T15:20:00Z,cardio,2
2024-08-11T15:21:00Z,fat burn,1
2024-08-11T15:22:00Z,cardio,2
2024-08-11T15:23:00Z,cardio,2
2024-08-11T15:24:00Z,cardio,2
2024-08-11T15:25:00Z,cardio,2
2024-08-11T15:26:00Z,cardio,2
2024-08-11T15:27:00Z,cardio,2
2024-08-11T15:28:00Z,cardio,2
2024-08-11T15:29:00Z,cardio,2
2024-08-11T15:30:00Z,fat burn,1
2024-08-11T15:31:00Z,fat burn,1
2024-08-11T15:32:00Z,fat burn,1
2024-08-11T15:33:00Z,fat burn,1
2024-08-11T15:34:00Z,fat burn,1
2024-08-11T15:35:00Z,fat burn,1
2024-08-11T15:36:00Z,fat burn,1
2024-08-11T15:37:00Z,fat burn,1
2024-08-11T15:38:00Z,fat burn,1
2024-08-11T15:39:00Z,fat burn,1
2024-08-11T15:40:00Z,fat burn,1
2024-08-11T15:41:00Z,fat burn,1
2024-08-11T15:42:00Z,fat burn,1
2024-08-11T15:43:00Z,fat burn,1
2024-08-11T15:44:00Z,fat burn,1
2024-08-11T15:45:00Z,fat burn,1
2024-08-11T15:47:00Z,fat burn,1
2024-08-11T15:48:00Z,fat burn,1
2024-08-12T14:29:00Z,fat burn,1
2024-08-12T14:38:00Z,fat burn,1
2024-08-12T14:39:00Z,fat burn,1
2024-08-12T14:40:00Z,fat burn,1
2024-08-12T14:41:00Z,cardio,2
2024-08-12T14:42:00Z,fat burn,1
2024-08-12T14:43:00Z,cardio,2
2024-08-12T14:44:00Z,cardio,2
2024-08-12T14:45:00Z,fat burn,1
2024-08-12T14:46:00Z,fat burn,1
2024-08-12T14:47:00Z,fat burn,1
2024-08-12T14:48:00Z,cardio,2
2024-08-12T14:49:00Z,cardio,2
2024-08-12T14:50:00Z,cardio,2
2024-08-12T14:51:00Z,cardio,2
2024-08-12T14:52:00Z,cardio,2
2024-08-12T14:53:00Z,cardio,2
2024-08-12T14:54:00Z,fat burn,1
2024-08-12T14:55:00Z,fat burn,1
2024-08-12T14:56:00Z,fat burn,1
2024-08-12T14:57:00Z,fat burn,1
2024-08-12T14:58:00Z,fat burn,1
2024-08-12T14:59:00Z,fat burn,1
2024-08-12T15:01:00Z,fat burn,1
2024-08-12T15:02:00Z,fat burn,1
2024-08-12T15:03:00Z,fat burn,1
2024-08-12T15:04:00Z,fat burn,1
2024-08-12T15:59:00Z,fat burn,1
2024-08-12T16:00:00Z,fat burn,1
2024-08-12T16:01:00Z,fat burn,1
2024-08-12T16:02:00Z,fat burn,1
2024-08-12T16:03:00Z,fat burn,1
2024-08-12T16:04:00Z,fat burn,1
2024-08-12T20:09:00Z,fat burn,1
2024-08-12T20:10:00Z,fat burn,1
2024-08-12T20:11:00Z,fat burn,1
2024-08-12T20:12:00Z,fat burn,1
2024-08-13T16:06:00Z,fat burn,1
2024-08-13T16:07:00Z,fat burn,1
2024-08-13T16:08:00Z,fat burn,1
2024-08-13T16:09:00Z,fat burn,1
2024-08-13T16:10:00Z,cardio,2
2024-08-13T16:11:00Z,fat burn,1
2024-08-13T16:12:00Z,fat burn,1
2024-08-13T16:13:00Z,fat burn,1
2024-08-13T16:14:00Z,fat burn,1
2024-08-13T16:15:00Z,fat burn,1
2024-08-13T16:16:00Z,fat burn,1
2024-08-13T16:17:00Z,fat burn,1
2024-08-13T16:18:00Z,fat burn,1
2024-08-13T16:19:00Z,fat burn,1
2024-08-13T16:20:00Z,fat burn,1
2024-08-13T16:21:00Z,fat burn,1
2024-08-13T16:22:00Z,cardio,2
2024-08-13T16:23:00Z,fat burn,1
2024-08-13T16:24:00Z,cardio,2
2024-08-13T16:25:00Z,fat burn,1
2024-08-13T16:26:00Z,fat burn,1
2024-08-13T16:27:00Z,fat burn,1
2024-08-13T16:28:00Z,fat burn,1
2024-08-13T16:29:00Z,fat burn,1
2024-08-13T16:30:00Z,fat burn,1
2024-08-13T16:31:00Z,fat burn,1
2024-08-14T00:37:00Z,fat burn,1
2024-08-14T00:38:00Z,fat burn,1
2024-08-14T00:39:00Z,fat burn,1
2024-08-14T15:20:00Z,fat burn,1
2024-08-14T15:21:00Z,fat burn,1
2024-08-14T15:22:00Z,fat burn,1
2024-08-14T15:23:00Z,fat burn,1
2024-08-14T15:24:00Z,fat burn,1
2024-08-14T15:25:00Z,fat burn,1
2024-08-14T15:26:00Z,fat burn,1
2024-08-14T15:28:00Z,fat burn,1
2024-08-14T15:29:00Z,fat burn,1
2024-08-14T15:30:00Z,fat burn,1
2024-08-14T15:31:00Z,fat burn,1
2024-08-14T15:35:00Z,fat burn,1
2024-08-14T15:36:00Z,cardio,2
2024-08-14T15:37:00Z,cardio,2
2024-08-14T15:38:00Z,cardio,2
2024-08-14T15:39:00Z,cardio,2
2024-08-14T15:40:00Z,cardio,2
2024-08-14T15:41:00Z,cardio,2
2024-08-14T15:42:00Z,cardio,2
2024-08-14T15:43:00Z,fat burn,1
2024-08-14T15:44:00Z,fat burn,1
2024-08-14T15:45:00Z,fat burn,1
2024-08-14T15:46:00Z,fat burn,1
2024-08-14T15:47:00Z,fat burn,1
2024-08-14T15:48:00Z,fat burn,1
2024-08-14T15:49:00Z,fat burn,1
2024-08-14T15:50:00Z,fat burn,1
2024-08-14T15:51:00Z,fat burn,1
2024-08-14T22:41:00Z,fat burn,1
2024-08-14T22:45:00Z,fat burn,1
2024-08-14T23:02:00Z,fat burn,1
2024-08-14T23:03:00Z,fat burn,1
2024-08-14T23:04:00Z,fat burn,1
2024-08-14T23:05:00Z,fat burn,1
2024-08-14T23:06:00Z,fat burn,1
2024-08-14T23:07:00Z,fat burn,1
2024-08-14T23:08:00Z,fat burn,1
2024-08-14T23:12:00Z,fat burn,1
2024-08-14T23:13:00Z,fat burn,1
2024-08-14T23:14:00Z,fat burn,1
2024-08-14T23:15:00Z,fat burn,1
2024-08-14T23:16:00Z,fat burn,1
2024-08-14T23:17:00Z,fat burn,1
2024-08-14T23:19:00Z,fat burn,1
2024-08-14T23:20:00Z,fat burn,1
2024-08-14T23:21:00Z,fat burn,1
2024-08-14T23:22:00Z,fat burn,1
2024-08-14T23:23:00Z,fat burn,1
2024-08-14T23:24:00Z,fat burn,1
2024-08-14T23:25:00Z,fat burn,1
2024-08-14T23:26:00Z,fat burn,1
2024-08-14T23:27:00Z,fat burn,1
2024-08-14T23:29:00Z,fat burn,1
2024-08-14T23:30:00Z,fat burn,1
2024-08-14T23:33:00Z,fat burn,1
2024-08-14T23:34:00Z,fat burn,1
2024-08-14T23:35:00Z,fat burn,1
2024-08-14T23:36:00Z,fat burn,1
2024-08-14T23:43:00Z,fat burn,1
2024-08-14T23:48:00Z,fat burn,1
2024-08-14T23:49:00Z,fat burn,1
2024-08-14T23:50:00Z,fat burn,1
2024-08-14T23:52:00Z,fat burn,1
2024-08-14T23:53:00Z,fat burn,1
2024-08-14T23:54:00Z,fat burn,1
2024-08-14T23:55:00Z,fat burn,1
2024-08-14T23:56:00Z,fat burn,1
2024-08-14T23:57:00Z,fat burn,1
2024-08-14T23:58:00Z,fat burn,1
2024-08-14T23:59:00Z,fat burn,1
2024-08-15T00:01:00Z,fat burn,1
2024-08-15T00:02:00Z,fat burn,1
2024-08-15T00:03:00Z,fat burn,1
2024-08-15T00:04:00Z,fat burn,1
2024-08-15T00:18:00Z,fat burn,1
2024-08-15T17:02:00Z,fat burn,1
2024-08-15T17:03:00Z,fat burn,1
2024-08-15T17:04:00Z,fat burn,1
2024-08-15T17:06:00Z,fat burn,1
2024-08-15T17:07:00Z,fat burn,1
2024-08-15T17:08:00Z,cardio,2
2024-08-15T17:09:00Z,fat burn,1
2024-08-15T17:10:00Z,fat burn,1
2024-08-15T17:11:00Z,fat burn,1
2024-08-15T17:12:00Z,fat burn,1
2024-08-15T17:13:00Z,fat burn,1
2024-08-15T17:14:00Z,fat burn,1
2024-08-15T17:15:00Z,fat burn,1
2024-08-15T17:16:00Z,fat burn,1
2024-08-15T17:17:00Z,fat burn,1
2024-08-15T17:18:00Z,fat burn,1
2024-08-15T17:19:00Z,fat burn,1
2024-08-15T17:20:00Z,fat burn,1
2024-08-15T19:31:00Z,fat burn,1
2024-08-16T15:48:00Z,fat burn,1
2024-08-16T15:49:00Z,fat burn,1
2024-08-16T15:50:00Z,fat burn,1
2024-08-16T15:56:00Z,fat burn,1
2024-08-16T15:57:00Z,fat burn,1
2024-08-16T15:58:00Z,fat burn,1
2024-08-16T15:59:00Z,cardio,2
2024-08-16T16:00:00Z,fat burn,1
2024-08-16T16:01:00Z,cardio,2
2024-08-16T16:02:00Z,cardio,2
2024-08-16T16:03:00Z,cardio,2
2024-08-16T16:04:00Z,cardio,2
2024-08-16T16:05:00Z,cardio,2
2024-08-16T16:06:00Z,cardio,2
