timestamp,floors
2017-04-28T15:44:00Z,1
2017-04-28T16:02:00Z,2
2017-04-28T16:40:00Z,2
2017-04-28T18:02:00Z,2
2017-04-28T18:34:00Z,1
2017-04-28T18:35:00Z,1
2017-04-29T19:11:00Z,1
2017-04-29T19:58:00Z,1
2017-04-29T20:26:00Z,1
2017-04-29T21:17:00Z,1
2017-04-29T22:45:00Z,4
2017-04-29T22:48:00Z,1
2017-04-29T23:20:00Z,2
2017-04-29T23:23:00Z,3
2017-04-30T01:55:00Z,1
2017-04-30T02:26:00Z,1
2017-04-30T02:27:00Z,1
2017-04-30T02:28:00Z,4
2017-04-30T02:50:00Z,3
2017-04-30T02:51:00Z,2
2017-04-30T18:34:00Z,1
2017-04-30T19:09:00Z,1
2017-04-30T20:34:00Z,1
2017-04-30T20:35:00Z,1
2017-04-30T20:36:00Z,1
2017-04-30T20:37:00Z,1
2017-04-30T20:39:00Z,1
2017-04-30T20:56:00Z,1
